L 07/09/2020 - 18:12:20: "Bot116<119><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot116<119><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot117<120><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot117<120><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot118<121><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot118<121><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot119<122><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot119<122><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot120<123><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot120<123><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot121<124><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot121<124><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot122<125><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot122<125><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot123<126><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot123<126><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot124<127><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot124<127><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot125<128><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot125<128><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot126<129><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot126<129><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot127<130><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot127<130><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot128<131><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot128<131><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot129<132><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot129<132><BOT><>" entered the game
L 07/09/2020 - 18:12:20: "Bot130<133><BOT><>" connected, address "none"
L 07/09/2020 - 18:12:20: "Bot130<133><BOT><>" entered the game
