L 05/22/2020 - 00:20:40: "Bot59<61><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:40: "Bot59<61><BOT><>" entered the game
L 05/22/2020 - 00:20:41: "Bot60<62><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:41: "Bot60<62><BOT><>" entered the game
L 05/22/2020 - 00:20:41: "Bot61<63><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:41: "Bot61<63><BOT><>" entered the game
L 05/22/2020 - 00:20:41: "Bot62<64><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:41: "Bot62<64><BOT><>" entered the game
L 05/22/2020 - 00:20:41: "Bot63<65><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:41: "Bot63<65><BOT><>" entered the game
L 05/22/2020 - 00:20:41: "Bot64<66><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:41: "Bot64<66><BOT><>" entered the game
L 05/22/2020 - 00:20:41: "Bot65<67><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:41: "Bot65<67><BOT><>" entered the game
L 05/22/2020 - 00:20:42: "Bot66<68><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:42: "Bot66<68><BOT><>" entered the game
L 05/22/2020 - 00:20:42: "Bot67<69><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:42: "Bot67<69><BOT><>" entered the game
L 05/22/2020 - 00:20:42: "Bot68<70><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:42: "Bot68<70><BOT><>" entered the game
L 05/22/2020 - 00:20:42: "Bot69<71><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:42: "Bot69<71><BOT><>" entered the game
L 05/22/2020 - 00:20:42: "Bot70<72><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:42: "Bot70<72><BOT><>" entered the game
L 05/22/2020 - 00:20:43: "Bot71<73><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:43: "Bot71<73><BOT><>" entered the game
L 05/22/2020 - 00:20:43: "Bot72<74><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:43: "Bot72<74><BOT><>" entered the game
L 05/22/2020 - 00:20:43: "Bot73<75><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:43: "Bot73<75><BOT><>" entered the game
L 05/22/2020 - 00:20:43: "Bot74<76><BOT><>" connected, address "none"
L 05/22/2020 - 00:20:43: "Bot74<76><BOT><>" entered the game
